	cell type: Hematopoietic stem cell_CD133+ CD34dim_to_cell type: Hematopoietic stem cell_CD38- CD34+	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Common myeloid progenitor	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Early B-cell	cell type: Early B-cell_to_cell type: Pro B-cell	cell type: Pro B-cell_to_cell type: Naïve B-cells	cell type: Naïve B-cells_to_cell type: Mature B-cells	cell type: Naïve B-cells_to_cell type: Mature B-cell class able to switch	cell type: Naïve B-cells_to_cell type: Mature B-cell class switched	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Naive CD8+ T-cell	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Naive CD4+ T-cell	cell type: Naive CD4+ T-cell_to_cell type: CD4+ Central Memory	cell type: Naive CD4+ T-cell_to_cell type: CD4+ Effector Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Central Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Effector Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Effector Memory RA	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: NKT	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56+ CD16+ CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56- CD16+ CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56- CD16- CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Plasmacytoid Dendritic Cell	cell type: Common myeloid progenitor_to_cell type: Myeloid Dendritic Cell	cell type: Common myeloid progenitor_to_cell type: Granulocyte/monocyte progenitor	cell type: Common myeloid progenitor_to_cell type: Megakaryocyte/ erythroid progenitor	cell type: Megakaryocyte/ erythroid progenitor_to_cell type: Erythroid_CD34+ CD71+ GlyA-	cell type: Erythroid_CD34+ CD71+ GlyA-_to_cell type: Erythroid_CD34- CD71+ GlyA-	cell type: Erythroid_CD34- CD71+ GlyA-_to_cell type: Erythroid_CD34- CD71+ GlyA+	cell type: Erythroid_CD34- CD71+ GlyA+_to_cell type: Erythroid_CD34- CD71lo GlyA+	cell type: Erythroid_CD34- CD71lo GlyA+_to_cell type: Erythroid_CD34- CD71- GlyA+	cell type: Megakaryocyte/ erythroid progenitor_to_cell type: Colony Forming Unit-Megakaryocytic	cell type: Colony Forming Unit-Megakaryocytic_to_cell type: Megakaryocyte	cell type: Granulocyte/monocyte progenitor_to_cell type: Colony Forming Unit-Granulocyte	cell type: Colony Forming Unit-Granulocyte_to_cell type: Granulocyte (Neutrophilic Metamyelocyte)	cell type: Granulocyte (Neutrophilic Metamyelocyte)_to_cell type: Granulocyte (Neutrophil)	cell type: Granulocyte/monocyte progenitor_to_cell type: Colony Forming Unit-Monocyte	cell type: Colony Forming Unit-Monocyte_to_cell type: Monocyte	cell type: Granulocyte/monocyte progenitor_to_cell type: Eosinophill	cell type: Granulocyte/monocyte progenitor_to_cell type: Basophils
CDC5L	0.0006617	-0.00053666	0.0143	-0.011889	-0.015375	-0.0034125	0.075123	0.016921	-0.034705	0.035217	-0.13543	0.00052122	0.12054	-0.00034298	0.00080754	-0.019126	0.0010384	-0.00049944	-0.0006428	-0.00081913	0.0033716	0.010525	-0.0023743	-0.00046653	0.017963	0.00053638	-0.010998	-0.00063695	9.1309e-05	-0.00067821	-0.0076577	-0.033183	-6.2819e-05	0.0014969	0.00063675	-7.4706e-05	9.97e-06
ZBTB4	0.0020115	-2.6854e-05	7.6069e-05	-0.00033413	-0.00020041	0.00020041	0.00027317	-0.00047966	7.3607e-05	0.00013223	-0.00039028	0.00022834	0.00030119	-0.00010714	-0.00039664	0.00043991	0.00062766	-0.00037601	-0.00042754	-0.00022485	0.00021771	-0.00039431	-0.0004251	4.5728e-05	0.00014257	5.6026e-06	-0.00042335	-0.00052615	0.00012602	-0.00013638	0.00016311	0.00026765	0.00012398	-0.00082081	-0.00012377	0.00056716	-0.00033953
NR4A2	-0.05018	-0.00010683	-0.00043242	0.00056149	0.00041671	-0.07388	-0.00017903	-0.00013846	-0.00050433	0.00022844	-0.022182	0.013714	0.13124	-0.081355	-0.00038846	0.00015894	0.0003405	0.00012907	-0.00065184	0.00012907	-0.00010209	0.00061089	-0.00058405	0.00050258	2.7306e-05	-0.0002601	0.00078762	-0.00023745	0.00031511	0.00082213	-0.00034179	-0.00033883	-0.00033284	-0.0017863	-0.00019769	0.00069153	-0.00032333
NR4A1	0.02482	0.00024409	-7.2769e-05	0.00037862	-0.010178	0.010708	0.066515	0.0049771	-0.00075845	0.0052688	-0.086485	-8.3498e-05	0.00050737	0.00048851	0.000277	-0.00063783	-0.016075	9.1416e-05	-0.00039255	-0.00036965	-0.00012125	-0.00027066	-0.00052786	0.00061705	-1.1985e-05	0.030067	-0.019062	-0.089135	-0.0007308	0.0005315	0.00022336	-0.00042453	0.00039061	0.00041258	-0.00061912	-0.0021522	-0.00089859
BRF2	-0.00044496	0.034614	0.00039245	0.00069093	-0.0009354	-0.00050423	0.0010032	-0.0064475	0.00085999	0.00042957	-0.00081121	0.00052384	0.00095516	0.00083693	0.00030248	-0.00044727	0.0001068	0.00014924	-0.00039977	-0.00079957	-6.6797e-05	-0.033362	0.0009832	-0.043301	0.014608	0.0011639	-0.016126	0.00058916	-0.00025436	-0.0006516	7.0796e-05	-0.00075515	-0.00056252	-0.00019016	0.00033012	-5.4459e-06	0.00073081
SKIL	-0.00052845	0.00063682	-0.00086021	0.00012171	0.00060261	0.000275	0.00017071	-0.00046043	-0.063132	0.00058542	0.00092231	-0.00078734	-0.00095599	0.40254	0.00031124	0.019561	-0.00032842	0.01113	-0.000362	0.00078801	-0.00044091	-0.00011015	-0.00017821	-0.017694	0.00046803	0.015058	3.6609e-05	0.00038527	-0.00059989	-0.00018218	0.00082252	-0.00032134	-0.00010682	-0.00036426	0.00018037	-0.00072744	-0.00065949
EBF1	-0.041402	-0.000797	-0.00024974	-0.010468	0.00015505	-0.027198	4.5749e-05	4.5728e-05	-0.0037813	-0.057188	0.074981	0.024869	0.00056225	0.00074192	0.00078075	-0.00046566	-0.12685	0.00080675	0.0036853	0.049632	-0.048263	-0.020161	-0.002567	-0.008085	0.0008539	-2.1907e-05	0.00010899	0.018621	0.0051866	0.00066897	-0.00043971	0.010835	0	0.00036363	0.010032	8.4755e-05	-0.019724
PBX2	-0.026805	0.00049526	0.00013264	0.002176	-0.00061625	-0.00093248	0.00015135	-0.00010699	0.0038305	0.00028362	8.7233e-05	-0.00075689	-0.00071801	0.00052142	0.00086444	0.026855	-0.00074411	0.0007927	-0.022044	0.00012586	0.00068139	-0.00011936	0.00021585	-0.00064918	0.00064918	0.00076304	-0.00055228	-0.00021076	-0.00073665	-0.00033165	0.00015709	-0.023878	0.05297	-0.00081461	-0.00072419	-0.012426	0.00061993
PBX3	0.00059193	-0.0011597	-0.00055239	0.00055409	0.035579	-0.052637	-0.030395	-0.0001704	0.00031877	0.0051401	-0.02962	0.00014109	0.071393	-0.0030473	-2.7636e-05	-0.00047331	0.082577	-8.2597e-05	-0.00039966	0.038309	-0.00088908	0.017127	0.0067196	-0.00056279	0.00033396	-0.030295	0.035965	-0.00093646	0.00080409	-0.0011782	-0.00076366	0.00033588	0.00077353	-0.00031859	0.00075685	-0.017925	-0.054329
PBX1	0.00024113	-0.00024834	0.00072068	0.00010745	-0.00041598	0.01304	-0.00051397	-0.00061026	-0.00070437	-0.00058725	-0.00028965	5.475e-05	-0.00053658	0.00044971	0.00017518	0.00025489	0.00052105	0.0005267	0.0007182	-0.00062377	-0.00074397	0.00059773	0.00017777	0.00052463	0.00089182	0.019968	-0.00045658	-0.0006189	-0.0001071	0.00078913	0.00031173	0.00012472	-0.079313	1.9364e-05	-0.00015487	-0.00052705	-0.00052705
