	cell type: Hematopoietic stem cell_CD133+ CD34dim_to_cell type: Hematopoietic stem cell_CD38- CD34+	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Common myeloid progenitor	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Early B-cell	cell type: Early B-cell_to_cell type: Pro B-cell	cell type: Pro B-cell_to_cell type: Naïve B-cells	cell type: Naïve B-cells_to_cell type: Mature B-cells	cell type: Naïve B-cells_to_cell type: Mature B-cell class able to switch	cell type: Naïve B-cells_to_cell type: Mature B-cell class switched	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Naive CD8+ T-cell	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Naive CD4+ T-cell	cell type: Naive CD4+ T-cell_to_cell type: CD4+ Central Memory	cell type: Naive CD4+ T-cell_to_cell type: CD4+ Effector Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Central Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Effector Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Effector Memory RA	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: NKT	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56+ CD16+ CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56- CD16+ CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56- CD16- CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Plasmacytoid Dendritic Cell	cell type: Common myeloid progenitor_to_cell type: Myeloid Dendritic Cell	cell type: Common myeloid progenitor_to_cell type: Granulocyte/monocyte progenitor	cell type: Common myeloid progenitor_to_cell type: Megakaryocyte/ erythroid progenitor	cell type: Megakaryocyte/ erythroid progenitor_to_cell type: Erythroid_CD34+ CD71+ GlyA-	cell type: Erythroid_CD34+ CD71+ GlyA-_to_cell type: Erythroid_CD34- CD71+ GlyA-	cell type: Erythroid_CD34- CD71+ GlyA-_to_cell type: Erythroid_CD34- CD71+ GlyA+	cell type: Erythroid_CD34- CD71+ GlyA+_to_cell type: Erythroid_CD34- CD71lo GlyA+	cell type: Erythroid_CD34- CD71lo GlyA+_to_cell type: Erythroid_CD34- CD71- GlyA+	cell type: Megakaryocyte/ erythroid progenitor_to_cell type: Colony Forming Unit-Megakaryocytic	cell type: Colony Forming Unit-Megakaryocytic_to_cell type: Megakaryocyte	cell type: Granulocyte/monocyte progenitor_to_cell type: Colony Forming Unit-Granulocyte	cell type: Colony Forming Unit-Granulocyte_to_cell type: Granulocyte (Neutrophilic Metamyelocyte)	cell type: Granulocyte (Neutrophilic Metamyelocyte)_to_cell type: Granulocyte (Neutrophil)	cell type: Granulocyte/monocyte progenitor_to_cell type: Colony Forming Unit-Monocyte	cell type: Colony Forming Unit-Monocyte_to_cell type: Monocyte	cell type: Granulocyte/monocyte progenitor_to_cell type: Eosinophill	cell type: Granulocyte/monocyte progenitor_to_cell type: Basophils
SMARCC2	-0.0002232	-0.00035834	-3.1998e-05	-0.00024186	-0.00015849	0.00023236	0.00084678	-0.00069677	0.00080753	-0.00038292	-0.00053365	0.0016244	0.00067237	-0.13698	-0.00075028	0.00047716	0.00041406	0.00093791	7.0125e-05	-0.0043597	-0.00013778	-0.00036085	-0.00037175	-0.00092196	0.0016688	-0.00036016	0.00014343	-0.00050082	0.00053047	-0.00015124	0.00056243	-4.323e-05	0.00025703	-0.00033427	-0.00021607	0.00056542	8.8671e-05
SMARCC1	5.5391e-05	0.00099016	0.00092071	-0.00089795	0.037626	0.00059978	-0.00061933	-0.00057666	0.0003122	-2.0351e-07	-0.069724	0.0003343	0.00068379	0.00012563	-0.030774	-0.00028097	0.037529	0.00076135	-0.00072828	-5.5391e-05	-0.00026873	-0.00059776	-0.00070646	-0.0005509	0.00021922	-0.00088281	0.0010285	0.00011339	0.0002012	-0.00023211	0.00010249	-0.031795	0.00018377	-0.00050736	0.00016077	-0.00037689	-0.00070413
HOXC10	-5.2095e-05	0.00026609	-0.011544	0.010899	0.00046392	0.00016785	-0.00030627	0.00044635	0.00015123	0.00041755	-0.10732	0.0003332	0.0004561	-0.00063506	0.00035983	-0.00014453	0.00026609	-0.00019236	-0.0004305	0.00026626	-0.00036883	-0.00014359	0	-0.00035391	0.00038457	-0.00039784	0.00073879	-0.00035162	-6.6166e-05	6.2706e-05	8.6483e-05	-6.1714e-06	7.2382e-05	0.00014359	0.00045552	-7.9233e-05	-3.1608e-05
MEN1	-0.00091846	0.0017629	0.00038453	-0.00067106	-0.0017335	-0.0004987	9.8916e-05	0.00041658	0.0016464	-0.02082	0.054735	-0.041819	0.00095544	-0.00096334	-0.0001819	-0.00021948	-0.00027498	-0.00089796	-0.004449	0.00057644	0.00026744	-0.00046351	0.00032305	0.018687	-0.00011985	-0.055128	0.00034886	0.033016	-0.034486	0.015174	-0.00049498	0.00053727	-0.00044679	0.061971	-0.062302	0.00032615	0.00014386
HIPK2	0.015469	0.00054911	0.00046291	0.0005219	0.00051185	-0.087191	-0.00052827	0.0001498	-8.2618e-05	0.00042872	0.00068001	0.00060838	-0.10798	0.00050413	-0.00077556	0.00072847	-0.0009627	-0.0073891	0.00079714	-0.00071494	-0.00028258	-0.00078364	-0.010953	-0.00028427	0.00055879	-0.00014466	0.00057573	0.00082857	-0.00017962	-0.00039035	-0.00080432	-0.0006129	0.00053624	0.00047694	0.00035071	0.00029861	-0.00091901
LHX2	0.00020792	0.0065027	4.2877e-05	-0.024024	0.019569	-0.00092655	0.032264	9.1678e-05	-0.00028656	0.0007634	-0.00038676	-0.05733	0.0005503	2.4888e-05	0.055922	0.00059702	-0.016488	3.4479e-06	2.0577e-05	-0.00089015	-0.013442	0.00086018	0.00010608	-0.00024018	-0.033294	-0.00025319	0.02376	0.030405	-0.00095365	0.0010023	-0.00080473	0.00015045	-0.0065431	-0.00020854	0.0004043	-0.049514	0.00066577
NR0B2	-0.00071046	-0.00018786	0.00044411	0.00046542	5.0817e-05	0.035614	-0.00025904	-0.00013254	-0.00076756	0.00090355	0.00018018	-0.00022192	0.00098347	0.014156	-0.00013161	-9.7126e-06	0.0010186	-0.00056974	-0.00047836	-0.00088854	-0.029992	0.0011464	-0.00053169	-0.00059925	0.00019835	0.0065348	-0.00079568	-0.00071307	-0.00021618	6.4014e-07	0.00025832	-0.00050629	-0.00061621	0.0031174	0.080686	0.00028391	0.00033159
NR0B1	-5.7197e-05	-0.010032	0.00094349	-0.00056668	-0.00049908	-0.00084743	-0.00041205	0.00047496	0.00058271	0.00037769	-0.00011092	-3.4314e-05	0.00033194	-6.1654e-05	-0.00033672	-0.00051603	0.00058214	0.00018821	0.00034338	0.010382	0.00955	-0.00097431	0.0098412	0.00086183	0.00065239	-0.00065312	-0.00048701	0.0006388	-0.00017138	0.0007047	0.032329	0.0005362	0.004148	-0.00067995	-0.00090052	0.0052491	4.5511e-05
FOXQ1	0.00030134	-0.00053072	-2.8552e-05	-0.00055954	0.00056294	-0.00013856	-0.00058235	-5.5609e-05	0.00061494	-0.00047071	-0.00028145	-0.00088762	0.00083954	-0.00085206	-4.6675e-06	-0.00032895	0.00044467	1.8048e-05	-0.00010504	0.0025826	0.18296	9.3926e-05	0.00035192	-0.00040618	0.00055032	-0.00013571	6.2628e-05	1.9913e-05	-0.00046746	-9.2512e-05	0.00053538	0.00017573	-0.00044469	-0.017573	-0.00078166	0.0002663	0.00026642
SP9	-0.00079889	0.00033546	-0.00059906	0.00010198	0.00054953	0.00021111	0.00022838	-0.00063565	-7.6389e-05	0.0002637	-4.6725e-05	0.0003487	9.073e-05	-0.00019011	0.00033995	0.00032449	-0.00082197	0.00030428	-6.4876e-05	0.00026356	-0.00016045	0.00079879	-0.0002593	0.0001874	0.00011676	0.031793	-0.00062006	0.00065975	0.0019981	-0.00085708	-0.00087069	0.016816	-0.00048562	-0.00021766	-0.0006577	0.00016445	-0.00041422
ZNF689	-0.069464	0.00010441	0.00050915	-4.0294e-05	0.00041061	-0.010448	-0.00074961	0.00019839	0.00038886	5.4944e-05	-0.012516	0.00060751	-0.00025901	-0.00023621	0.0001122	-0.00084976	0.00012986	0.0001406	-0.00031277	-4.009e-05	0.00095476	-0.00026456	-0.00029986	0.00032716	-1.3064e-05	0.00045819	-0.00029861	-0.00029722	-0.00012685	0.00071664	0.00028814	-0.00060608	0.00055363	-0.00037933	0.00011763	0.00071998	0.00029001
SP1	-0.0001679	0.00016979	0.011628	-0.00063392	-0.0071691	0.0008912	0.00044858	-0.036878	0.047161	-0.00028272	0.00053588	0.093812	0.00026824	-0.098079	-0.00038818	-0.0010095	-0.00093821	0.0052658	-1.7734e-05	-0.00090491	-0.00056326	-0.00088398	-0.017885	0.00055338	0.00052594	-0.0062918	0.048858	-0.00055933	0.038181	-0.038519	-0.0016657	-0.00015182	0.00057464	0.00084484	-0.0002876	-0.00030425	0.057023
SP2	-0.0035603	0.021213	0.00078245	0.0024046	-0.00056553	-0.00029092	-0.00035505	-0.00029518	0.0008683	-0.00053338	-0.00041636	9.4626e-05	-4.0174e-05	0.013699	-0.0093957	-0.022864	0.00047014	0.00050037	-0.00066091	0.00046223	-0.032738	0.00064358	-0.00020598	0.00021467	-0.076882	0.056957	-0.00089066	0.00079423	-1.2494e-05	-0.00090342	-0.01461	0.0023653	-0.00051875	0.0043782	-0.044187	-0.13313	-0.040196
SP3	-0.019701	-0.025403	-0.0003763	-0.017866	0.00037745	0.028941	0.034266	-0.00061612	-0.00046493	-0.06525	0.013063	0.00076955	0.00040827	0.00042107	-0.025906	-0.017673	-0.0092403	0.00070214	0.0084158	0.00091443	0.00035818	-0.0021111	0.00053595	-0.0013149	0.00036715	-0.053018	0.08094	-0.00054896	0.00033283	-0.00048647	0.016292	0.017637	-0.059484	0.00090176	0.0090565	0.0071033	0.00037984
SP4	-0.042444	-0.00067359	0.088281	-0.12981	0.024434	-0.060598	0.085483	0.0030033	-8.5385e-05	0.00030044	0.01147	-0.0003568	-0.00060052	0.00042367	-0.0074816	-0.00014268	-0.00059917	0.00033289	0.00075313	-2.6789e-06	0.00048697	0.00043494	0.00012785	-0.00054117	0.00036141	0.00028214	-0.00053976	-0.00077537	0.00061664	0.0009412	0.00031117	-0.00068542	0.00070155	-0.017071	-0.00011521	0.00048331	-0.029806
ZNF687	-0.00035082	-0.00021299	0.00028602	0.00029043	-0.0001548	-0.20966	-0.000292	-0.00042165	-0.00054223	-3.9919e-05	4.0284e-05	-0.0002034	0.00057234	0.00042746	0.00017839	-0.00050738	0.00025095	0.00021803	-0.00052056	0.00070926	0.00021299	0.00021299	0.00066076	0.00022677	0.0003847	0.042231	-0.043291	-0.00024274	-0.00044777	-0.0002049	-0.00029933	0.00029933	-0.00042477	0	6.0748e-05	0.00010127	0
SMARCD2	-0.00019119	-0.00028329	0.00077755	-0.00051495	0.00030368	-0.00030368	-0.00043863	0.010963	-0.00080783	0.0002626	-0.00046547	0.00025076	0.00077828	-0.0004928	0.010909	-0.00077494	-0.038244	0.00074464	0.00031816	0.0002626	0.00017113	-0.00025247	0.00058499	0.00075499	-0.00015874	-0.00074595	0.00057773	8.1493e-05	2.6926e-05	0.00040841	0.00011155	0.00042266	-0.00024895	0.00016972	0.00041789	0.00069918	-0.029225
GATA6	0.1345	-0.018918	-0.00014368	-0.0035775	0.00040236	-0.086974	-0.00029985	0.0006296	-0.0008193	-0.0003977	-0.022883	0.01893	-0.0068368	-0.00085661	-0.00085375	0.00026832	-3.811e-05	-0.022962	-0.043452	0.00094069	-0.0009047	0.00047228	-0.042212	0.13183	-0.092274	-0.00065894	0.00078235	0.00088209	0.0559	0.00088584	0.025316	-0.0009257	-0.035237	0.00092597	0.00076822	-0.00018573	-0.00073377
GATA4	-0.00044946	-0.00015564	0.00014738	0.00013639	-0.000957	0.00015829	-0.00013666	-0.00062297	0.0046848	0.00024105	-0.019189	0.00083211	9.9156e-05	-0.00027135	-0.0012162	-0.027869	-0.00049764	0.00029796	0.0003222	0.00024105	0.00061292	6.6999e-05	0.00075992	0.00068302	-0.00087043	5.114e-05	-0.016349	0.026516	-0.017217	0.12545	0.00026349	0.00069427	-6.749e-05	0.0001531	0.00017641	0.00034184	0.00097983
GATA2	-0.0062699	-0.022024	0.0091349	0.00053454	0.00013195	0.00018813	0.00017936	-0.00030746	-0.00096999	0.00089714	-0.00027333	0.0023133	0.0099751	-0.027799	0.00025707	-0.00086578	0.0094104	-0.00021227	0.00010654	-0.040101	0.00045798	-0.0075708	0.00011717	0.0005727	-0.00092295	0.00028739	0.12339	-0.072128	0.058214	0.021199	0.00054668	0.00026442	0.00074313	0.086701	0.021065	0.16831	0.016756
GATA3	-0.00054669	0.00022563	-0.00097596	0.0025241	-0.00044339	0.00042142	0.00071392	-0.00034228	0.00067924	0.00076036	-0.034909	7.3537e-05	-0.00049636	0.048568	1.3051e-06	0.00068054	-0.00064487	-0.0042193	0.00068232	0.03359	0.00052272	0.0004366	-0.0008044	-0.00027661	-0.00090406	0.0020885	0.00025003	-0.00067798	-0.00033015	0.00031005	0.00044484	-0.0005522	-0.00033327	0.00062743	0.00019387	-0.00077927	0.00072175
GATA1	-0.00060664	-0.0004373	0.00084032	0.00078879	-0.00084198	-0.00027778	-0.011811	0.00053911	0.00077965	0.00045602	-0.012241	0.00013898	0.0007927	0.00012668	-2.292e-05	9.7096e-05	-0.015584	-0.0035893	0.00060359	0.000609	0.00079642	-0.029534	-0.0006705	0.033574	-0.00067045	-0.031136	0.053485	-0.00087831	-0.00015878	2.1462e-05	0.060738	0.00059306	-0.045759	-0.00088446	0.00032042	-0.00033011	-0.00010588
GTF2F1	0.00062661	0.013248	-0.00084698	-0.069174	0.005585	0.00098351	0.00056104	0.12337	0.00011068	0.00098444	0.028375	-0.012997	-0.011085	0.00025675	-0.0011762	0.01618	-0.00045313	-8.384e-05	-0.00065549	-0.00048669	0.0004012	-0.00047073	-0.00048518	-0.0003473	-9.7407e-05	-0.00046721	-0.00048183	-0.013685	0.0002406	-0.065165	0.0080432	0.00094313	-0.054646	0.00021601	-0.064465	0.00089498	0.082582
MAX	0.00049203	-0.00093328	-0.000326	0.00033515	0.018962	-0.00025777	-0.00015797	-0.0001493	0.00096613	9.15e-06	-0.0010081	-0.011936	-0.00048619	0.017187	0.018883	1.9165e-05	-0.05001	0.00051804	0.025863	0.0010312	-0.00074631	-0.041948	0.00087629	-0.00043656	0.045097	-0.036212	-0.00064529	-0.00037843	9.8021e-05	-4.0437e-05	0.034709	-0.052258	-0.00043955	0.04289	0.00051712	0.062167	-0.0092919
MAZ	-0.00035455	-0.044068	-0.00035547	0.017602	-0.00020489	0.00019711	-0.00078942	-0.00047022	0.00047686	-0.00099114	0	-0.00034599	-0.00021667	-4.1371e-05	0.00032921	0.00052463	-0.000127	0.0068689	0.00088265	-4.9247e-05	0.00027652	0.057154	0.039374	0.0020388	0.00073523	0.00021	-0.00062735	-0.037192	-3.9068e-05	0.00020722	0.00027501	0.029355	-0.1249	0.00014933	-0.00093373	-0.00042436	-0.00023294
AHR	0.00080949	0.0055979	-0.0005796	0.037807	-0.00088635	-0.037901	-0.00668	0.00022558	0.010149	-0.015426	0.032995	0.0002626	-0.00070115	-0.0015267	-0.0014046	2.8438e-05	0.00044749	0.00045715	-0.00075935	0.00060117	0.0030243	0.00035388	0.001576	0.0094984	-0.00016209	-0.00011817	-0.10171	0.054023	0.00032278	-3.9988e-05	-0.0040984	-0.00033202	0.00057542	-0.00029405	-0.00032877	7.1791e-05	0.00057812
DLX2	-0.00014639	-0.00023178	-0.00030943	0.00033879	-0.00027858	0.0001114	0.00040469	0.00038593	-0.00015902	-0.00028945	0.022648	-0.00029215	-0.00016796	0.00030542	-0.00014004	0.00025058	0.00066172	0.00014639	5.2675e-05	-0.00043195	-0.00018194	0.00067643	0.00037765	0.00026537	2.5905e-05	-0.00056124	0.00091486	-0.0001736	0.00042017	-0.00040615	-0.00029826	-0.00054116	-0.00041365	7.7897e-05	0.00018652	0.00025467	-0.00010809
TCF12	0.00055384	0.047381	-0.0001282	-0.00097074	-0.00079863	0.0090578	0.050586	-0.00063877	-3.9829e-05	-0.00022138	-0.065077	0.043839	0.0004282	-0.00050855	-0.00079136	8.5744e-05	0.037886	-0.00025743	0.0046567	6.5783e-05	-0.047336	-0.0098274	-0.054394	0.00090015	0.00028736	0.044006	-0.00071401	0.00010837	0.00086645	-0.00022489	0.00086838	-0.00027333	-0.053797	-0.00017399	-0.00043386	-0.01656	0.00044885
CTBP2	-0.00023888	0.020854	-0.00067858	-0.00084233	-0.00023922	-0.00011478	-0.00058252	-0.0176	-0.016868	-4.0291e-05	-0.00080865	-9.4704e-05	0.0048363	-0.077625	-0.00020111	-0.00041861	0.00096323	-0.024261	-0.00027136	-0.00088134	-0.0006911	-0.010044	-0.054292	-0.00044714	0.00021843	0.00022876	0.024779	0.0019275	7.4904e-05	-0.00044834	-0.0050873	-0.00091279	-0.012735	-5.9524e-05	0.00073919	-0.034863	-0.00025846
ZNF775	-0.00092846	0.00042958	-0.00034725	-0.0002871	-0.000391	0.079297	9.184e-05	-0.0004961	0.035859	-4.9235e-05	0.00020378	0.00024564	-0.047037	-0.029478	-0.0020638	-0.00032878	0.00067042	0.00039118	-0.00089162	0.00019445	0.0005254	-0.00058702	-0.00035534	-0.00011918	-0.00037062	0.00056651	5.2025e-05	-0.00055207	0.00053816	-0.00018694	0.00055134	-0.00019946	0.00050049	-0.00048297	0.00020945	0.00036173	0.00017592
YBX1	0.0008648	-9.8537e-05	0.00033544	-0.00050255	0.00053938	0.00070516	0.00019817	0.00059822	-0.00063038	0.020764	-0.0012668	-0.00027382	-0.0085471	-0.015242	0.0051149	0.060474	0.00044594	-0.013981	0.00012372	-0.00026669	-4.3269e-05	0.00094414	0.0034296	-0.001131	0.020372	0.00010522	0.00046196	-0.00083669	-0.00036789	-0.00025567	-0.043397	0.064347	-0.00069525	-0.018712	0.0003552	0.00045278	-0.00090874
CTCF	0.00061305	0.00066124	0.0010255	-0.0014231	-0.00054683	-7.0965e-06	-0.022863	0.092198	-0.00086135	0.00050611	0.00050356	0.00023442	0.0073294	0.00056013	-0.018195	-0.00034459	-7.3637e-05	-0.024415	-0.017684	-0.027448	0.038275	0.0007547	-0.00069264	0.00031608	0.00080779	0.00048757	-0.00070416	0.017816	0.0040513	-0.090869	-0.00048637	-0.098523	0.067378	0.00017571	0.097878	4.7533e-05	-0.0046285
HMGN3	-0.088721	-0.00021986	0.00038473	-2.9405e-05	2.6874e-05	0.00039125	0.023886	-0.00082424	-0.0009604	-0.00025798	-0.0086322	4.8738e-05	0.00060669	0.0022044	-0.00017432	-0.024603	0.00024209	-0.00044439	-0.013853	-0.0005893	-0.00038266	0.00063929	-0.00082314	0.016633	-0.018443	-0.04962	0.077436	-0.00045005	-0.0003573	0.00095956	-0.00096168	-0.001323	0.0073195	0.0094496	0.00091127	-4.0716e-05	-0.00032879
TCF4	0.00077335	0.072155	-0.0086061	0.00018223	-0.0004498	-0.00013057	0.00017622	0.0002948	-0.033854	-8.6531e-06	-5.5224e-05	0.00024105	0.077953	-0.0019669	0.0898	-0.078608	0.00064645	-0.00072679	9.6067e-05	-0.00082257	-0.11583	-0.069061	0.00085571	-0.21694	0.12842	-9.0402e-05	-0.00083097	0.07125	-0.032071	-0.014943	0.00010353	-0.010618	-0.00013121	0.0047833	0.00059699	0.017834	0.00023596
BAZ2A	0.00040472	0.00012208	0.00017304	-0.00043142	0.00036417	0.00031483	-0.11171	2.9198e-05	0.0001098	-0.0006807	0.00069421	-0.00075021	0.00033869	0.00012599	0.00012235	0.00062751	-0.00031247	1.345e-05	0.0017052	-1.303e-05	-0.00053678	-0.00010244	-0.00010857	-0.00010438	0.00010438	-0.00062683	0.0010554	0.092251	0.00028354	-0.00051249	-0.00014824	-0.00030165	-0.00016743	0.00064303	-0.00033655	-0.00015231	-8.7333e-05
ARNTL	-0.00039852	5.8899e-05	-0.034457	0.05707	-0.0003682	-0.00093481	-0.040331	0.00053236	0.00047584	0.00011764	0.00034115	0	-0.029303	0.00074954	-0.036708	2.7982e-06	0.00011764	-0.00017616	-0.00036247	0.00089577	0.00018978	-0.0081688	0.00011719	0.00042952	0.00030822	-0.00059543	-0.00069056	0.00010584	0.00038527	9.3309e-05	-0.00042643	-0.00018707	0.070874	0.00097611	7.3081e-05	0.00043619	-0.00043303
CSDE1	0.00051032	-0.021381	-5.8879e-05	-0.0005485	5.2705e-05	0.00085156	-0.00090565	-0.00088848	0.00019569	-0.00024863	-0.027647	-0.0001183	-0.022023	0.038256	0.00035829	-0.0062185	-0.00082572	-0.00066699	0.00019642	0.00086718	0.00081904	-0.00065399	0.0186	-2.656e-05	0.00061451	0.00071488	-0.0013108	0.023398	-4.2384e-05	0.00083779	0.030757	-0.00033193	-0.00025859	-0.00077599	0.0097206	0.042512	-0.021574
SOX10	0.00016995	-0.00088605	0.00067927	-0.00016602	0.013154	-0.00017572	-0.00014422	-0.0013444	-0.00087969	0.014082	-0.00074714	0.00026955	-0.037419	-0.00025776	-0.085452	-0.00047739	0.00094351	3.6021e-05	-0.00095155	0.0076443	0.00095063	0.00083235	-0.00022162	0.00019052	0.00041312	0.00085087	-0.014523	0.00042348	-2.7955e-06	-0.00027699	-0.00077389	0.00070123	0.0051829	-0.00063449	0.00068561	-0.01787	-0.00045416
SOX12	0.0001951	-7.17e-05	-0.00031745	-0.0004222	0.00066626	-0.00069642	1.762e-06	0.059864	-0.00011033	-0.00031936	0.00019142	3.1039e-05	0.00027474	3.8628e-05	3.8628e-05	0.00034891	-0.00024179	0.00061984	0.00046985	-0.00012302	-0.010989	-0.00033441	4.9592e-05	5.2755e-05	-0.00010235	-0.00063898	0.00076627	0.00021947	0.00038951	-0.00054671	0.00033461	-9.5396e-05	-0.00040972	0.00033441	0.00073691	0.00050645	-0.00021317
GTF2B	0.08606	-0.065277	-0.0065871	-0.024631	0.011785	0.037799	-0.00024533	0.0069456	-0.027965	0.00038949	-0.00010564	-3.1723e-05	0.00023905	-0.00024427	-0.032136	0.00051167	-0.034931	0.024594	0.00067227	-0.031215	0.047358	0.080707	0.061963	-0.0005873	0.00090755	-0.00088465	0.022402	-0.00026124	0.0005377	-0.018784	-0.010893	0.0069147	0.00069359	-0.064971	0.061206	-0.00073946	0.00023487
NF1	0.054763	-0.0067264	-0.00063751	-0.00094603	0.00057719	0.011697	-0.019697	-0.0006895	1.2695e-05	-0.0071663	2.3158e-05	-3.7145e-05	0.00053689	-0.00025502	-0.00017758	0.0002126	-0.0072058	0.0005135	3.2662e-05	0.00060329	0.00091778	-0.00049943	0.00021955	-0.00075804	-0.00049111	0.00027654	0.00035565	-4.5281e-05	6.586e-05	-0.00030728	0.0002176	0.00066523	0.032896	-0.00012016	0.00017689	5.0096e-05	-0.00073824
NFIL3	-6.036e-05	-0.00019179	0.022715	0.00082078	0.0033996	-0.18693	0.00031869	0.0082581	0.00047166	0.00036349	0.0071539	0.00086714	0.00026344	0.00066072	-0.00021173	-0.033499	-0.0010315	0.081423	0.095443	-0.00023525	-0.0051958	0.0075635	-0.00048579	0.00050768	0.011703	-0.0005317	0.00032087	0.00044924	0.0001569	0.0082184	0.00045777	-0.00032171	0.00016899	0.00025184	-0.00056767	-0.00062243	0.00013948
NR1H4	-0.00020039	0.00065984	0.00014027	-0.00053003	0.0001471	-0.00084657	0.00039357	0.00035122	0.00012128	1.6852e-05	-0.00072734	-0.00014215	-0.00088823	0.00085693	-0.00019127	-0.00014823	0.00083795	-0.00039358	-0.013425	0.00049439	-0.0001674	-0.0013857	-0.0010959	-0.00067421	0.00074898	0.00037959	-0.0014735	0.046791	0.0001387	0.00042013	0.00074415	-0.00030313	-0.00090958	-0.00079742	0.00067204	0.00037099	-0.00014793
KCNIP3	-0.0025395	0.015448	0.00015224	0.00086988	0.031458	0.00061142	-0.24648	0.00053831	-0.0002741	-0.00014049	0.012082	0.052542	-0.00060826	-0.00011532	0.00031377	-4.2695e-05	0.00017773	1.2227e-05	0.0002631	-0.0006949	4.2177e-05	-0.0082122	-0.006519	0.00024003	-8.0075e-05	0.0032945	-0.00010951	-0.00051822	0.00019685	0.00090509	0.0021542	-0.00055876	-0.00050967	-0.00050061	0.00091434	0.00082091	0.0004795
HOXA5	-0.00057222	0.042788	-0.00015636	-4.0236e-05	0.00032753	-0.00044121	0.00028912	0.00044129	0.00057222	-0.00050441	-0.00065706	0.00080414	-2.5933e-05	0.00055314	-0.00085383	-0.00047136	-0.00041144	0.00030558	0.00027965	0.00072264	-0.00088368	-0.042903	-0.01897	0.00029802	-0.02354	0.00039609	-0.00031926	-0.00038411	0.00075005	0.00084176	3.095e-05	-0.00065625	-0.00088506	0.00069475	-0.00012351	4.2065e-05	0.00099918
NR1H2	-0.00020884	0.0003201	0.00038443	-0.00017934	0.035586	-0.06104	-0.048174	-0.031277	-0.00059647	-0.00084469	-0.00066618	0.016354	-0.00056837	-0.0001119	-0.032297	0.00059325	-0.00068267	-0.00050424	-0.00011562	-0.042763	-0.00081921	-0.00064277	-0.0011424	0.00043847	-0.00034506	-0.00025321	-0.00019691	-6.1062e-05	-0.00066036	0.00053926	-9.3422e-05	0.0004422	-0.00024498	-0.00031989	-0.0001498	-0.00039288	8.0953e-05
NR1H3	-5.4704e-05	0.01196	0.00012803	-0.00082262	0.00035697	0.00044287	0.02369	-0.016522	0.0057053	0.0001177	-0.00052128	0.037157	-0.0002951	-0.00045537	-0.00045537	-0.00015072	0.00021491	-0.00021151	0.00026662	-0.0003778	0.024335	-9.8331e-05	0.00083422	-0.026813	0.00024319	0.019102	-5.3322e-05	-3.9945e-05	0.00063854	-0.00069193	6.1417e-05	-0.006673	-0.00069576	-0.00025432	0.00015549	-0.00092134	0.015787
HOXB7	0.00018035	0.00029329	0.00040368	-0.00024632	0.00070654	-0.065462	0.00021113	0.011768	-0.0002903	0.00077253	0.026446	-0.00091628	-0.00063146	0.00044235	-0.00064599	0.041582	-0.0010669	0.00023249	-1.2548e-05	-0.00053284	0.00045137	-0.00094837	0.00040468	-0.0005523	-0.00041328	0.00049856	0.00013405	-0.00020738	-0.00063561	-0.00030049	-9.2646e-05	-0.0021176	0.0070654	0.00084561	0.12758	0.0063131	0.023007
HOXB5	0.00042134	0.00016737	-0.00029546	-0.0004984	0.00074284	0.00029104	0.00023678	0.00016567	-0.00071	7.6775e-05	0.077433	-0.13328	-0.00013745	0.00094636	-0.00018553	-0.00023302	0.00021264	2.6295e-05	6.1482e-05	-8.1064e-06	3.3453e-05	4.5266e-05	-7.6971e-05	0.00077436	-0.0006484	0.00067339	-0.00067712	0.0005739	0.00018351	0.00040497	-0.00010579	4.3669e-05	-0.0001814	0.00086505	-0.00026316	0.00039649	0
HOXC11	-0.0073659	0.022164	-0.0002192	0.0062858	6.4164e-05	-0.00067963	-7.5892e-06	-0.011948	-0.1336	0.033581	-0.00042593	0.00044499	0.13342	0.23305	0.16783	-0.088196	-0.00021708	6.7822e-05	-3.3821e-05	-0.00057024	-0.00083964	-0.048599	-0.023147	0.00083743	0.00016469	-8.5554e-05	-0.00017758	0.031095	0.015076	-0.052104	-0.0031819	0.056125	0.0047749	0.00095777	0.0081992	0.00024941	0.00076365
PPARG	0.14337	0.001254	0.049523	-0.00099603	-0.047266	0.00051108	-0.00023454	-0.00038196	0.00048339	-0.00019129	0.0071138	0.00071532	-0.00054553	0.00019554	3.2649e-05	-1.454e-06	0.017021	0.0020488	-0.00047565	0.00087185	-0.00075899	-0.0002934	0.0047342	0.00053012	-0.00076108	-0.0005832	-0.00080233	0.00042328	0.0085369	-0.035107	-0.00040641	0.012075	-0.00044937	-0.00019992	-0.00045547	0.00066222	-0.087158
